Ship Name,Ship Type,GRT,Date,U-Boat,Loss Type,Position,Location,Route,Cargo,Casualties
A. A. Raven,Steamer,2459,03/14/18,UB 55 (Ralph Wenninger),Sunk,"15 miles SW of Wolf Rock Light, Scilly Islands","49° 41'N, 5° 50'W",Barry - ?,,7
A. B. Sherman,Sailing vessel,611,06/26/17,UC 62 (Max Schmitz),Damaged,Stopped about 80 miles SW of the Scilly Islands. Attempt to scuttle unsuccesful; vessel later towed into port,,Philadelphia - Le Havre,oil and cotton,0
A. E. Whyland,Sailing vessel,130,03/13/18,U 152 (Constantin Kolbe),Sunk,55 miles off Tenerife,"27° 02'N, 16° 26'W",,,0
A. H. Friis,Sailing vessel,110,05/25/17,UC 33 (Martin Schelle),Sunk,Stopped and sunk off Faroe Islands 35 miles WSW of Sudero,,Setubal - Trangisvaag,salt,0
A. Piatt Andrew,Fishing vessel (sail),141,08/20/18,U 156 (Richard Feldt),Sunk,Stopped and scuttled by Triumph 60 miles off Nova Scotia coast (on Quero bank or off Sable Island ?),,,,0
A.s. 160,Sailing vessel,20,11/03/17,UC 37 (Willy List),Sunk,E of Crete,"35° 35'N, 27° 30'E",,,
Aalesund,Steamer,414,01/23/18,UC 71 (Ernst Steindorff),Sunk,Torpedoed 12 miles SWxW of St. Catherineâs Point,"50° 28'N, 1° 33'W",Caen - Barry,in ballast,6
Aaro,Steamer,2603,08/01/16,U 20 (Walther Schwieger),Sunk,About 25 miles SW of Stavanger,,Hull - Christiania,,3
Aasta,Steamer,1146,03/27/17,UC 69 (Erwin WaÃner),Sunk,3 miles SW of Armen Rock,,Pomaron - Swansea,copper pyrites & concentrates,0
Abaris,Steamer,2892,11/17/17,UB 40 (Hans Howaldt),Damaged,Torpedoed 10 miles W of Eddystone,,Calais - Manchester,in ballast,3
Abbas,Coast guard vessel,298,11/05/15,U 35 (Waldemar Kophamel),Sunk,Sunk by gunfire off the port of Sollum,,,,
Abd Es Salem,Sailing vessel,25,05/26/17,UC 20 (Hans Adalbert von der LÃ¼he),Sunk,off Sicily,,,,
Abd Razik,Sailing vessel,25,04/10/17,UC 20 (Franz Becker),Sunk,off Tripoli or between Tripoli and Tunisia,,,,
Abeja,Sailing vessel,174,03/09/17,U 48 (Berndt BuÃ),Sunk,Stopped and sunk by gunnery 20 miles SW1/2S of Start Point,"49° 53'N, 3° 42'W",Granville - Fowey,in ballast,0
Abelia,Motor vessel,3650,12/30/15,U 34 (Claus RÃ¼cker),Sunk,152 miles W of Gavdo Island,"34° 24'N, 20° 51'E",Bombay - Hull,manganese ore & cottonseed,0
Abosso,Passenger steamer,7782,04/25/17,U 43 (Hellmuth JÃ¼rst),Sunk,180 miles WxN of Fastnet,"57° 10'N, 14° 58'W",Bathurst - Liverpool,"passengers, mail & general cargo",65
Aboukir,Steamer,3660,02/03/18,UB 48 (Wolfgang Steinbauer),Sunk,20 miles ExS of Cape Creus,"42° 20'N, 3° 40'E",Naples - Gibraltar,in ballast,0
HMS Aboukir,Armored cruiser,12000,09/22/14,U 9 (Otto Weddigen),Sunk,Torpedoed off the Dutch coast,"52° 18'N, 3° 41'E",,,527
Aburi,Steamer,3730,04/17/17,U 61 (Victor Dieckmann),Sunk,Torpedoed 125 miles NW of Tory Island,"56° 15'N, 11° 30'W",Liverpool - West Africa,general cargo,25
Aby,Fishing vessel,15,07/07/18,UB 40 (Hans Joachim Emsmann),Sunk,Stopped and scuttled 25 miles E3/4N of Spurn Point,,,,0
Acadia,Sailing vessel,1556,04/23/17,U 52 (Hans Walther),Sunk,Stopped and scuttled 65 miles NW of Tory Island,"55° 44'N, 9° 30'W",Dublin â Delaware Breakwater,in ballast,0
Acadian,Steamer,2305,09/16/18,UB 117 (Erwin WaÃner),Sunk,Torpedoed 11 miles SWxW of Trevose Head at 10.25pm,"50° 25'N, 5° 16'W",Bilbao - Ayr,iron ore,25
Acantha,Trawler,322,04/05/15,U 10 (Fritz Stuhr),Sunk,Stopped and then sunk by torpedo 25 miles ExN of Longstone,"55° 41'N, 1° 00'W",,,0
Acary,Steamer,4275,11/02/17,U 151 (Waldemar Kophamel),Sunk,off Sao Vicente harbour,,Rio de Janeiro - Havre,hides & coffee,
Achaia,Steamer,2733,09/07/16,U 72 (Ernst Krafft),Sunk,Mined 300 yards ENE of Oran Harbour,"36° 00'N, 0° 50'E",Karachi - Cardiff,wheat,0
Achieve,Fishing vessel (smack),43,07/30/15,UB 10 (Otto Steinbrinck),Sunk,Stopped and scuttled 35 miles ExN of Lowestoft,,,,0
Achille Adam,Steamer,460,03/23/17,UB 39 (Heinrich KÃ¼stner),Sunk,31m SExE of Beachy Head,,Saint Valery - Newhaven,,6
Achilles,Steamer,7043,03/31/16,U 44 (Paul WagenfÃ¼hr),Sunk,90 miles WNW of Ushant,,Sydney & Table Bay - London & Liverpool,grain & wool,5
Achilles Ii,Navy Trawler,225,06/26/18,UC 4 (Eberhard Schmidt),Sunk,Mined off the Shipwash LV 520430N 014800E,"52° 05'N, 1° 48'E",,,13
Achilleus,Steamer,843,08/05/16,U 35 (Lothar von Arnauld de la PeriÃ¨re),Sunk,Shelled and sunk in Gulf of Lion,"42° 02'N, 3° 25'E",Marseille - Nemours (Algeria),21000 sacks of lime,0
Aconcagua,Sailing vessel,1313,01/02/17,U 70 (Otto WÃ¼nsche),Sunk,Sunk by gunfire in the Bay of Biscay ,"46° 11'N, 7° 26'W","Antofagasta, Chile - La Pallice",nitrate,
Acor,Sailing vessel,183,08/17/17,U 00 (),Sunk,off SW Spain,,,,
Acoriano,Sailing vessel,312,12/17/17,U 156 (Konrad Gansser),Sunk,Stopped and scuttled SE of the Azores,"35° 10'N, 18° 20'W",Bissao - Valancia,,
Actaeon,Steamer,4999,11/24/17,U 84 (Walter Roehr),Sunk,"150 miles NNW of Cape Finisterre. 45.10N, 10.21W per KTB","45° 18'N, 10° 30'W",Bordeaux - ?,,4
Actor,Steamer,6082,09/01/18,UB 125 (Werner Vater),Damaged,Torpedoed in the St. Georgeâs Channel,"51° 45'N, 6° 30'W",Liverpool & Milford - Philadelphia,in ballast,0
Actie,Sailing vessel,562,09/29/15,U 16 (Leo Hillebrand),Sunk,20 miles SW of Lindesnaes,"57° 35'N, 6° 30'E",KragerÃ¸ â Leith,pit props,0
Active,Fishing vessel (smack),57,06/06/18,UB 40 (Hans Joachim Emsmann),Sunk,Stopped and sunk 5 miles N1/2E Smithâs Knoll Spar Buoy,,,,0
HMD Active Iii,Navy Drifter,81,10/15/17,UC 51 (Hans Galster),Sunk,Mined off Milford Haven between Grassholm and Skokham,,sweeping,,10
